odsCode,cdb_Number
FEQ63,600043661
FEQ64,600000853
FEQ70,600000429
FEQ73,600043754
FEQ84,600035371
FEQ90,600040422
FEQ98,600035373
FER02,600039553
FER20,600035374
FER21,600035375
FER37,600035379
FER38,600035380
FER40,600035381
FER67,600035385
FER74,600035355
FER87,600035392
FER94,600033704
FET01,600035394
FET15,600039748
FET26,600035400
FET42,600035403
FET52,600035405
FET61,600035406
FET66,600035407
FET87,600035410
FET99,600035413
FEV02,600035414
FEV03,600000704
FEV24,600087411
FEV31,600034347
FEV35,600035423
FEV46,600035425
FEV47,600035426
FEV61,600035428
FEV63,600035429
FEV71,600035430
FEV79,600035432
FEV94,600035437
FEW00,600033528
FEW06,600041297
FEW25,600000682
FEW32,600035438
FEW47,600035440
FEW57,600041763
FEW67,600042859
FEW75,600035444
FEW89,600035926
FEW99,600037056
FEX08,600035449
FEX20,600041757
FEX24,600096111
FEX27,600035452
FEX28,600034333
FEX31,600000646
FEX32,600035453
FEX33,600035454
FEX35,600000940
FEX37,600041948
FEX56,600035457
FEX64,600035460
FEX76,600035462
FEX84,600035463
FEX93,600035466
FEY11,600035468
FEY18,600036242
FEY31,600035470
FEY88,600035473
FF004,600035474
FF009,600035475
FF015,600035476
FF020,600035478
FF021,600035479
FF028,600035480
FF045,600000990
FF055,600035485
FF058,600086481
FF059,600039375
FF082,600039374
FF084,600040901
FF092,600035492
FF097,600000834
FF102,600035495
FF119,600040319
FF120,600035499
FF141,600035501
FF166,600035507
FF184,600035512
FF197,600035514
FF200,600035515
FF205,600035796
FF210,600035518
FF222,600035520
FF229,600040841
FF239,600037752
FF240,600035523
FF241,600035524
FF255,600035526
FF269,600035529
FF270,600035530
FF273,600035532
FF286,600035535
FF297,600035537
FF299,600035539
FF305,600000772
FF312,600000257
FF326,600033537
FF338,600035545
FF341,600035546
FF347,600035548
FF360,600035550
FF368,600035554
FF373,600035556
FF376,600035557
FF379,600035559
FF385,600035560
FF386,600035561
FF391,600035563
FF403,600035565
FF421,600035566
FF426,600035567
FF430,600035568
FF435,600035570
FF441,600035572
FF475,600035577
FF483,600035578
FF498,600035583
FF501,600035584
FF509,600035586
FF519,600035587
FF521,600035588
FF526,600035589
FF533,600035591
FF535,600037227
FF553,600035596
FF575,600035602
FF592,600035603
FF596,600035604
FF604,600035607
FF615,600035083
FF630,600035612
FF631,600035613
FF638,600035616
FF646,600035619
FF647,600035620
FF650,600035621
FF663,600035623
FF671,600041210
FF689,600035627
FF698,600035629
FF708,600000701
FF713,600088071
FF731,600041326
FF737,600035639
FF739,600035641
FF773,600001248
FF784,600035648
FF785,600089241
FF787,600035650
FF788,600035651
FF791,600035652
FF812,600035654
FF819,600035656
FF826,600035657
FF831,600035661
FF832,600035662
FF850,600035665
FF862,600035667
FF864,600042044
FF878,600035669
FF903,600035672
FF910,600035673
FF912,600035674
FF922,600035675
FF987,600035679
FFA03,600035683
FFA36,600037683
FFA38,600035686
FFA41,600000841
FFA47,600038460
FFA48,600037542
FFA91,600035694
FFC01,600000740
FFC04,600001279
FFC15,600090321
FFC36,600035701
FFC49,600035703
FFC53,600036449
FFC93,600035709
FFC94,600040877
FFC95,600035710
FFD30,600034697
FFD48,600001086
FFD60,600039363
FFD76,600000846
FFD91,600034353
FFD93,600035722
FFE24,600035726
FFE28,600042402
FFE41,600000436
FFE44,600035728
FFE70,600035732
FFE75,600035735
FFE81,600035738
FFE82,600043554
FFE83,600034251
FFE98,600035740
FFF02,600035742
FFF04,600035743